movie_title,director_name,num_user_for_reviews,language,country,title_year,imdb_score,aspect_ratio,movie_facebook_likes,director_facebook_likes,actor_3_facebook_likes,actor_2_facebook_likes,actor_1_facebook_likes,actor_3_name,actor_2_name,actor_1_name,num_voted_users,cast_total_facebook_likes,budget
Superman Returns ,Bryan Singer,2367,English,USA,2006,6.1,2.35,0,0,903,10000,18000,Frank Langella,Marlon Brando,Kevin Spacey,240396,29991,209000000
Quantum of Solace ,Marc Forster,1243,English,UK,2008,6.7,2.35,0,395,393,412,451,Rory Kinnear,Mathieu Amalric,Giancarlo Giannini,330784,2023,200000000
Pirates of the Caribbean: Dead Man's Chest ,Gore Verbinski,1832,English,USA,2006,7.3,2.35,5000,563,1000,5000,40000,Jack Davenport,Orlando Bloom,Johnny Depp,522040,48486,225000000
The Lone Ranger ,Gore Verbinski,711,English,USA,2013,6.5,2.35,48000,563,1000,2000,40000,Tom Wilkinson,Ruth Wilson,Johnny Depp,181792,45757,215000000
Man of Steel ,Zack Snyder,2536,English,USA,2013,7.2,2.35,118000,0,748,3000,15000,Harry Lennix,Christopher Meloni,Henry Cavill,548573,20495,225000000
The Chronicles of Narnia: Prince Caspian ,Andrew Adamson,438,English,USA,2008,6.6,2.35,0,80,201,216,22000,Damián Alcázar,Pierfrancesco Favino,Peter Dinklage,149922,22697,225000000
The Avengers ,Joss Whedon,1722,English,USA,2012,8.1,1.85,123000,0,19000,21000,26000,Scarlett Johansson,Robert Downey Jr.,Chris Hemsworth,995415,87697,220000000
Pirates of the Caribbean: On Stranger Tides ,Rob Marshall,484,English,USA,2011,6.7,2.35,58000,252,1000,11000,40000,Stephen Graham,Sam Claflin,Johnny Depp,370704,54083,250000000
Men in Black 3 ,Barry Sonnenfeld,341,English,USA,2012,6.8,1.85,40000,188,718,816,10000,Nicole Scherzinger,Michael Stuhlbarg,Will Smith,268154,12572,225000000
The Hobbit: The Battle of the Five Armies ,Peter Jackson,802,English,New Zealand,2014,7.5,2.35,65000,0,773,972,5000,James Nesbitt,Adam Brown,Aidan Turner,354228,9152,250000000
The Amazing Spider-Man ,Marc Webb,1225,English,USA,2012,7,2.35,56000,464,963,10000,15000,Chris Zylka,Andrew Garfield,Emma Stone,451803,28489,230000000
Robin Hood ,Ridley Scott,546,English,USA,2010,6.7,2.35,17000,0,738,882,891,Scott Grimes,William Hurt,Mark Addy,211765,3244,200000000
The Hobbit: The Desolation of Smaug ,Peter Jackson,951,English,USA,2013,7.9,2.35,83000,0,773,972,5000,James Nesbitt,Adam Brown,Aidan Turner,483540,9152,225000000
The Golden Compass ,Chris Weitz,666,English,USA,2007,6.1,2.35,0,129,1000,6000,16000,Kristin Scott Thomas,Eva Green,Christopher Lee,149019,24106,180000000
King Kong ,Peter Jackson,2618,English,New Zealand,2005,7.2,2.35,0,0,84,919,6000,Evan Parke,Thomas Kretschmann,Naomi Watts,316018,7123,207000000
Titanic ,James Cameron,2528,English,USA,1997,7.7,2.35,26000,0,794,14000,29000,Gloria Stuart,Kate Winslet,Leonardo DiCaprio,793059,45223,200000000
Captain America: Civil War ,Anthony Russo,1022,English,USA,2016,8.2,2.35,72000,94,11000,19000,21000,Chris Evans,Scarlett Johansson,Robert Downey Jr.,272670,64798,250000000
Battleship ,Peter Berg,751,English,USA,2012,5.9,2.35,44000,532,627,10000,14000,Tadanobu Asano,Alexander Skarsgård,Liam Neeson,202382,26679,209000000
Jurassic World ,Colin Trevorrow,1290,English,USA,2015,7,2,150000,365,1000,2000,3000,Omar Sy,Judy Greer,Bryce Dallas Howard,418214,8458,150000000
Skyfall ,Sam Mendes,1498,English,UK,2012,7.8,2.35,80000,0,393,563,883,Rory Kinnear,Helen McCrory,Albert Finney,522030,2039,200000000
Spider-Man 2 ,Sam Raimi,1303,English,USA,2004,7.3,2.35,0,0,4000,11000,24000,Kirsten Dunst,James Franco,J.K. Simmons,411164,43388,200000000
Iron Man 3 ,Shane Black,1187,English,USA,2013,7.2,2.35,95000,1000,3000,4000,21000,Don Cheadle,Jon Favreau,Robert Downey Jr.,557489,30426,200000000
Alice in Wonderland ,Tim Burton,736,English,USA,2010,6.5,1.85,24000,13000,11000,25000,40000,Anne Hathaway,Alan Rickman,Johnny Depp,306320,79957,200000000
X-Men: The Last Stand ,Brett Ratner,1912,English,Canada,2006,6.8,2.35,0,420,560,808,20000,Daniel Cudmore,Kelsey Grammer,Hugh Jackman,383427,21714,210000000
Monsters University ,Dan Scanlon,265,English,USA,2013,7.3,1.85,44000,37,760,779,12000,Sean Hayes,Tyler Labine,Steve Buscemi,235025,14863,200000000
Transformers: Revenge of the Fallen ,Michael Bay,1439,English,USA,2009,6,2.35,0,0,464,581,894,Ramon Rodriguez,Kevin Dunn,Glenn Morshower,323207,3218,200000000
Transformers: Age of Extinction ,Michael Bay,918,English,USA,2014,5.7,2.35,56000,0,808,956,974,Kelsey Grammer,Sophia Myles,Bingbing Li,242420,3988,210000000
Oz the Great and Powerful ,Sam Raimi,511,English,USA,2013,6.4,2.35,60000,0,11000,15000,44000,James Franco,Mila Kunis,Tim Holmes,175409,73441,215000000
The Amazing Spider-Man 2 ,Marc Webb,1067,English,USA,2014,6.7,2.35,41000,464,825,10000,15000,B.J. Novak,Andrew Garfield,Emma Stone,321227,28631,200000000
TRON: Legacy ,Joseph Kosinski,665,English,USA,2010,6.8,2.35,30000,364,1000,10000,12000,James Frain,Olivia Wilde,Jeff Bridges,264183,25550,170000000
Cars 2 ,John Lasseter,283,English,USA,2011,6.3,2.35,10000,487,776,919,1000,Eddie Izzard,Thomas Kretschmann,Joe Mantegna,101178,4482,200000000
Green Lantern ,Martin Campbell,550,English,USA,2011,5.6,2.35,24000,258,326,368,16000,Taika Waititi,Temuera Morrison,Ryan Reynolds,223393,17657,200000000
Toy Story 3 ,Lee Unkrich,733,English,USA,2010,8.3,1.85,30000,125,721,1000,15000,Don Rickles,John Ratzenberger,Tom Hanks,544884,19085,200000000
Terminator Salvation ,McG,974,English,USA,2009,6.6,2.35,0,368,988,3000,23000,Common,Bryce Dallas Howard,Christian Bale,286095,27468,200000000
Furious 7 ,James Wan,657,English,USA,2015,7.2,2.35,94000,0,14000,23000,26000,Vin Diesel,Paul Walker,Jason Statham,278232,79150,190000000
World War Z ,Marc Forster,995,English,USA,2013,7,2.35,129000,395,1000,11000,17000,Mireille Enos,Brad Pitt,Peter Capaldi,465019,32392,190000000
X-Men: Days of Future Past ,Bryan Singer,752,English,USA,2014,8,2.35,82000,0,20000,22000,34000,Hugh Jackman,Peter Dinklage,Jennifer Lawrence,514125,91434,200000000
Star Trek Into Darkness ,J.J. Abrams,1171,English,USA,2013,7.8,2.35,92000,14000,928,981,19000,Noel Clarke,Bruce Greenwood,Benedict Cumberbatch,395573,21411,190000000
Jack the Giant Slayer ,Bryan Singer,205,English,USA,2013,6.3,2.35,22000,0,140,557,979,Ralph Brown,Ewen Bremner,Eddie Marsan,106416,1766,195000000
The Great Gatsby ,Baz Luhrmann,753,English,Australia,2013,7.3,2.35,115000,1000,77,509,29000,Steve Bisley,Elizabeth Debicki,Leonardo DiCaprio,362912,29770,105000000
Prince of Persia: The Sands of Time ,Mike Newell,453,English,USA,2010,6.6,2.35,23000,179,236,567,15000,Reece Ritchie,Richard Coyle,Jake Gyllenhaal,222403,16149,200000000
Pacific Rim ,Guillermo del Toro,1106,English,USA,2013,7,1.85,83000,0,919,968,16000,Larry Joe Campbell,Clifton Collins Jr.,Charlie Hunnam,381148,19166,190000000
Transformers: Dark of the Moon ,Michael Bay,899,English,USA,2011,6.3,2.35,46000,0,581,829,894,Kevin Dunn,Lester Speight,Glenn Morshower,326180,2593,195000000
Indiana Jones and the Kingdom of the Crystal Skull ,Steven Spielberg,2054,English,USA,2008,6.2,2.35,5000,14000,1000,1000,11000,Jim Broadbent,Ray Winstone,Harrison Ford,333847,14959,185000000
The Good Dinosaur ,Peter Sohn,345,English,USA,2015,6.8,2.35,20000,113,113,150,275,Peter Sohn,Jack McGraw,A.J. Buckley,62836,696,
Brave ,Mark Andrews,428,English,USA,2012,7.2,2.35,39000,56,838,1000,2000,Julie Walters,John Ratzenberger,Kelly Macdonald,273556,5005,185000000
Star Trek Beyond ,Justin Lin,432,English,USA,2016,7.5,2.35,30000,681,105,119,998,Lydia Wilson,Melissa Roxburgh,Sofia Boutella,53607,1327,185000000
WALL·E ,Andrew Stanton,1043,English,USA,2008,8.4,2.35,16000,475,522,729,1000,Jeff Garlin,Fred Willard,John Ratzenberger,718837,2975,180000000
Rush Hour 3 ,Brett Ratner,221,English,USA,2007,6.2,2.35,0,420,173,268,268,Noémie Lenoir,Dana Ivey,Tzi Ma,121084,1125,140000000
2012 ,Roland Emmerich,1055,English,USA,2009,5.8,2.35,13000,776,310,468,1000,Tom McCarthy,Liam James,Oliver Platt,283418,2144,200000000
A Christmas Carol ,Robert Zemeckis,249,English,USA,2009,6.8,2.35,0,0,10000,14000,18000,Gary Oldman,Colin Firth,Robin Wright,72809,48878,200000000
Jupiter Ascending ,Lana Wachowski,720,English,USA,2015,5.4,2.35,44000,0,13000,15000,17000,Eddie Redmayne,Mila Kunis,Channing Tatum,139593,47334,176000000
The Legend of Tarzan ,David Yates,239,English,USA,2016,6.6,2.35,29000,282,103,10000,11000,Casper Crump,Alexander Skarsgård,Christoph Waltz,42372,21175,180000000
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",Andrew Adamson,1463,English,USA,2005,6.9,2.35,0,80,82,190,1000,Shane Rangi,Kiran Shah,Jim Broadbent,286506,1317,180000000
X-Men: Apocalypse ,Bryan Singer,622,English,USA,2016,7.3,2.35,54000,0,1000,13000,34000,Tye Sheridan,Michael Fassbender,Jennifer Lawrence,148379,49684,178000000
The Dark Knight ,Christopher Nolan,4667,English,USA,2008,9,2.35,37000,22000,11000,13000,23000,Morgan Freeman,Heath Ledger,Christian Bale,1676169,57802,185000000
Up ,Pete Docter,704,English,USA,2009,8.3,1.85,27000,0,262,848,1000,Jess Harnell,Delroy Lindo,John Ratzenberger,665575,2635,175000000
Monsters vs. Aliens ,Rob Letterman,187,English,USA,2009,6.5,2.35,0,11,459,973,1000,Stephen Colbert,Rainn Wilson,Amy Poehler,114553,2579,175000000
Iron Man ,Jon Favreau,1055,English,USA,2008,7.9,2.35,10000,4000,4000,12000,21000,Jon Favreau,Jeff Bridges,Robert Downey Jr.,696338,39252,140000000
Hugo ,Martin Scorsese,678,English,USA,2011,7.5,1.85,42000,17000,1000,16000,17000,Ray Winstone,Christopher Lee,Chloë Grace Moretz,245333,36017,170000000
Wild Wild West ,Barry Sonnenfeld,648,English,USA,1999,4.8,1.85,0,188,582,4000,10000,Bai Ling,Salma Hayek,Will Smith,129601,15870,170000000
The Mummy: Tomb of the Dragon Emperor ,Rob Cohen,501,English,USA,2008,5.2,2.35,0,357,595,3000,5000,Russell Wong,Brendan Fraser,Jet Li,117927,9131,145000000
Suicide Squad ,David Ayer,971,English,USA,2016,6.9,2.35,80000,452,329,336,10000,Ike Barinholtz,Robin Atkin Downes,Will Smith,118992,11287,175000000
Evan Almighty ,Tom Shadyac,257,English,USA,2007,5.4,2.35,2000,293,7000,11000,87000,Steve Carell,Morgan Freeman,Jimmy Bennett,115099,108016,175000000
Edge of Tomorrow ,Doug Liman,741,English,USA,2014,7.9,2.35,77000,218,509,854,10000,Noah Taylor,Lara Pulver,Tom Cruise,431620,12652,178000000
Waterworld ,Kevin Reynolds,309,English,USA,1995,6.1,1.85,0,58,60,60,711,Zakes Mokae,Rick Aviles,Jeanne Tripplehorn,144337,1004,175000000
G.I. Joe: The Rise of Cobra ,Stephen Sommers,534,English,USA,2009,5.8,2.35,0,208,570,2000,23000,Leo Howard,Dennis Quaid,Joseph Gordon-Levitt,174578,26683,175000000
Inside Out ,Pete Docter,773,English,USA,2015,8.3,1.85,118000,0,384,767,1000,Phyllis Smith,Mindy Kaling,Amy Poehler,345198,2944,175000000
The Jungle Book ,Jon Favreau,398,English,UK,2016,7.8,1.85,65000,4000,591,13000,19000,Garry Shandling,Bill Murray,Scarlett Johansson,106072,32921,175000000
Iron Man 2 ,Jon Favreau,723,English,USA,2010,7,2.35,18000,4000,4000,19000,21000,Jon Favreau,Scarlett Johansson,Robert Downey Jr.,522371,48638,200000000
Snow White and the Huntsman ,Rupert Sanders,710,English,USA,2012,6.1,2.35,53000,274,11000,17000,26000,Sam Claflin,Kristen Stewart,Chris Hemsworth,228554,72881,170000000
Maleficent ,Robert Stromberg,634,English,USA,2014,7,2.35,89000,171,846,2000,11000,Sam Riley,Sharlto Copley,Angelina Jolie Pitt,252257,15516,180000000
Dawn of the Planet of the Apes ,Matt Reeves,620,English,USA,2014,7.6,1.85,45000,198,884,2000,10000,Kodi Smit-McPhee,Judy Greer,Gary Oldman,317542,14363,170000000
The Lovers ,Roland Joffé,15,English,Belgium,2015,4.5,,677,596,283,525,622,Bipasha Basu,Alice Englert,Tamsin Egerton,2138,1982,
47 Ronin ,Carl Rinsch,324,English,USA,2013,6.3,2.35,35000,47,982,1000,18000,Jin Akanishi,Cary-Hiroyuki Tagawa,Keanu Reeves,116994,20965,175000000
Captain America: The Winter Soldier ,Anthony Russo,742,English,USA,2014,7.8,2.35,55000,94,2000,11000,19000,Hayley Atwell,Chris Evans,Scarlett Johansson,496749,36188,170000000
Shrek Forever After ,Mike Mitchell,173,English,USA,2010,6.4,2.35,0,31,213,225,4000,Mary Kay Place,Kathy Griffin,Jon Hamm,138661,4628,165000000
Tomorrowland ,Brad Bird,497,English,USA,2015,6.5,2.2,37000,663,604,638,2000,Thomas Robinson,Chris Bauer,Judy Greer,128306,5046,190000000
Big Hero 6 ,Don Hall,433,English,USA,2014,7.9,2.39,41000,38,562,719,756,Abraham Benrubi,Daniel Henney,Damon Wayans Jr.,279093,2963,165000000
Wreck-It Ralph ,Rich Moore,345,English,USA,2012,7.8,2.35,40000,66,833,931,975,Joe Lo Truglio,Sarah Silverman,Jack McBrayer,272534,4451,165000000
The Polar Express ,Robert Zemeckis,444,English,USA,2004,6.6,2.35,10000,0,267,726,15000,Peter Scolari,Eddie Deezen,Tom Hanks,120798,16264,165000000
Independence Day: Resurgence ,Roland Emmerich,520,English,USA,2016,5.5,2.35,67000,776,535,812,890,Judd Hirsch,Sela Ward,Vivica A. Fox,58137,3233,165000000
How to Train Your Dragon ,Dean DeBlois,492,English,USA,2010,8.2,2.35,33000,255,759,953,18000,Craig Ferguson,America Ferrera,Gerard Butler,485430,20453,165000000
Terminator 3: Rise of the Machines ,Jonathan Mostow,1676,English,USA,2003,6.4,2.35,0,84,191,284,648,Carolyn Hennesy,M.C. Gainey,Nick Stahl,305340,1769,200000000
Guardians of the Galaxy ,James Gunn,1097,English,USA,2014,8.1,2.35,96000,571,3000,14000,14000,Djimon Hounsou,Vin Diesel,Bradley Cooper,682155,32438,170000000
Interstellar ,Christopher Nolan,2725,English,USA,2014,8.6,2.35,349000,22000,6000,11000,11000,Mackenzie Foy,Anne Hathaway,Matthew McConaughey,928227,31488,165000000
Inception ,Christopher Nolan,2803,English,USA,2010,8.8,2.35,175000,22000,23000,27000,29000,Joseph Gordon-Levitt,Tom Hardy,Leonardo DiCaprio,1468200,81115,160000000
Godzilla Resurgence ,Hideaki Anno,13,Japanese,Japan,2016,8.2,2.35,0,28,12,106,544,Atsuko Maeda,Shin'ya Tsukamoto,Mark Chinnery,374,699,
The Hobbit: An Unexpected Journey ,Peter Jackson,1367,English,USA,2012,7.9,2.35,166000,0,773,972,5000,James Nesbitt,Adam Brown,Aidan Turner,637246,9152,180000000
The Fast and the Furious ,Rob Cohen,988,English,USA,2001,6.7,2.35,14000,357,4000,14000,23000,Jordana Brewster,Vin Diesel,Paul Walker,272223,45327,38000000
The Curious Case of Benjamin Button ,David Fincher,822,English,USA,2008,7.8,2.35,23000,21000,919,1000,11000,Julia Ormond,Jason Flemyng,Brad Pitt,459346,13333,150000000
X-Men: First Class ,Matthew Vaughn,698,English,USA,2011,7.8,2.35,54000,905,1000,13000,34000,Oliver Platt,Michael Fassbender,Jennifer Lawrence,518537,50983,160000000
The Hunger Games: Mockingjay - Part 2 ,Francis Lawrence,383,English,USA,2015,6.6,2.35,38000,508,14000,22000,34000,Josh Hutcherson,Philip Seymour Hoffman,Jennifer Lawrence,166137,81385,160000000
The Sorcerer's Apprentice ,Jon Turteltaub,238,English,USA,2010,6.1,2.35,11000,226,370,418,12000,Robert Capron,Omar Benson Miller,Nicolas Cage,124185,13388,150000000
Poseidon ,Wolfgang Petersen,629,English,USA,2006,5.6,2.35,0,249,702,2000,87000,Andre Braugher,Mike Vogel,Jimmy Bennett,82380,92456,160000000
Alice Through the Looking Glass ,James Bobin,131,English,USA,2016,6.4,1.85,30000,33,11000,25000,40000,Anne Hathaway,Alan Rickman,Johnny Depp,21352,80806,170000000
Shrek the Third ,Chris Miller,326,English,USA,2007,6.1,1.85,0,50,692,795,3000,Rupert Everett,Eric Idle,Justin Timberlake,211971,4705,160000000
Warcraft ,Duncan Jones,781,English,USA,2016,7.3,2.35,89000,0,648,716,3000,Ruth Negga,Callum Rennie,Dominic Cooper,111609,5505,160000000
Terminator Genisys ,Alan Taylor,867,English,USA,2015,6.6,2.35,82000,230,2000,10000,24000,Matt Smith,Emilia Clarke,J.K. Simmons,188457,38873,155000000
The Chronicles of Narnia: The Voyage of the Dawn Treader ,Michael Apted,227,English,USA,2010,6.3,1.78,11000,150,59,82,531,Laura Brent,Shane Rangi,Bruce Spence,106446,764,155000000
Pearl Harbor ,Michael Bay,1999,English,USA,2001,6.1,2.35,0,0,691,961,3000,Mako,Jaime King,Jennifer Garner,254111,5401,140000000
Transformers ,Michael Bay,1782,English,USA,2007,7.1,2.35,8000,0,581,599,662,Kevin Dunn,Michael O'Neill,Zack Ward,513158,2333,150000000
Alexander ,Oliver Stone,1390,English,Germany,2004,5.5,2.35,0,0,591,11000,12000,Brian Blessed,Angelina Jolie Pitt,Anthony Hopkins,138863,24598,155000000
Harry Potter and the Order of the Phoenix ,David Yates,1108,English,UK,2007,7.5,2.35,0,282,687,11000,21000,Fiona Shaw,Daniel Radcliffe,Robert Pattinson,355137,33433,150000000
Harry Potter and the Goblet of Fire ,Mike Newell,1896,English,UK,2005,7.6,2.35,0,179,10000,11000,21000,Rupert Grint,Daniel Radcliffe,Robert Pattinson,385670,53413,150000000
Hancock ,Peter Berg,590,English,USA,2008,6.4,2.35,0,532,979,9000,10000,Eddie Marsan,Charlize Theron,Will Smith,343648,21584,150000000
I Am Legend ,Francis Lawrence,1413,English,USA,2007,7.2,2.35,11000,508,558,1000,10000,Willow Smith,Alice Braga,Will Smith,530870,13076,150000000
Charlie and the Chocolate Factory ,Tim Burton,1361,English,USA,2005,6.7,1.85,0,13000,588,16000,40000,David Kelly,Christopher Lee,Johnny Depp,320284,57844,150000000
Ratatouille ,Brad Bird,626,English,USA,2007,8,2.35,10000,663,954,1000,1000,Brian Dennehy,John Ratzenberger,Janeane Garofalo,473887,4764,150000000
Batman Begins ,Christopher Nolan,2685,English,USA,2005,8.3,2.35,15000,22000,11000,14000,23000,Morgan Freeman,Liam Neeson,Christian Bale,980946,59558,150000000
Madagascar: Escape 2 Africa ,Eric Darnell,119,English,USA,2008,6.7,1.85,0,35,436,851,1000,Cedric the Entertainer,Jada Pinkett Smith,Bernie Mac,146019,3285,150000000
Night at the Museum: Battle of the Smithsonian ,Shawn Levy,209,English,USA,2009,5.9,2.35,2000,189,1000,3000,49000,Steve Coogan,Rami Malek,Robin Williams,130272,54039,150000000
X-Men Origins: Wolverine ,Gavin Hood,641,English,USA,2009,6.7,2.35,0,151,2000,16000,20000,Dominic Monaghan,Ryan Reynolds,Hugh Jackman,361924,40054,150000000
The Matrix Revolutions ,Lana Wachowski,2121,English,Australia,2003,6.7,2.35,0,0,233,269,309,Nona Gaye,Collin Chou,Essie Davis,364948,1062,150000000
Frozen ,Chris Buck,904,English,USA,2013,7.6,2.24,58000,69,490,523,1000,Livvy Stubenrauch,Maurice LaMarche,Josh Gad,421658,2582,150000000
The Matrix Reloaded ,Lana Wachowski,2789,English,USA,2003,7.2,2.35,0,0,30,198,234,Helmut Bakaitis,Daniel Bernhardt,Steve Bastoni,421818,534,150000000
Thor: The Dark World ,Alan Taylor,532,English,USA,2013,7.1,2.35,63000,230,12000,20000,26000,Anthony Hopkins,Natalie Portman,Chris Hemsworth,414070,59803,170000000
Mad Max: Fury Road ,George Miller,1588,English,Australia,2015,8.1,2.35,191000,750,943,9000,27000,Zoë Kravitz,Charlize Theron,Tom Hardy,552503,40025,150000000
Angels & Demons ,Ron Howard,435,English,USA,2009,6.7,2.35,0,2000,294,745,15000,Armin Mueller-Stahl,Ayelet Zurer,Tom Hanks,207839,16948,150000000
Thor ,Kenneth Branagh,738,English,USA,2011,7,2.35,63000,0,12000,20000,26000,Anthony Hopkins,Natalie Portman,Chris Hemsworth,536314,60059,150000000
Bolt ,Byron Howard,178,English,USA,2008,6.9,1.85,0,59,699,759,17000,James Lipton,Diedrich Bader,Chloë Grace Moretz,146766,20007,150000000
G-Force ,Hoyt Yeatman,90,English,USA,2009,5.1,2.35,0,12,182,607,730,Niecy Nash,Piper Mackenzie Harris,Kelli Garner,33042,2217,150000000
Wrath of the Titans ,Jonathan Liebesman,253,English,USA,2012,5.8,1.85,19000,473,502,897,14000,Lily James,Edgar Ramírez,Liam Neeson,152826,16184,150000000
Dark Shadows ,Tim Burton,479,English,USA,2012,6.2,1.85,82000,13000,16000,17000,40000,Christopher Lee,Chloë Grace Moretz,Johnny Depp,199039,80849,100000000
Mission: Impossible - Rogue Nation ,Christopher McQuarrie,440,English,China,2015,7.4,2.35,47000,188,641,10000,10000,Sean Harris,Jeremy Renner,Tom Cruise,232187,21840,150000000
The Wolfman ,Joe Johnston,432,English,USA,2010,5.8,1.85,0,394,162,490,12000,Art Malik,Simon Merrells,Anthony Hopkins,89442,13071,150000000
The Legend of Tarzan ,David Yates,239,English,USA,2016,6.6,2.35,29000,282,103,10000,11000,Casper Crump,Alexander Skarsgård,Christoph Waltz,42372,21175,180000000
Bee Movie ,Steve Hickner,206,English,USA,2007,6.2,1.85,0,58,826,852,2000,Rip Torn,Oprah Winfrey,Matthew Broderick,105902,6576,150000000
Kung Fu Panda 2 ,Jennifer Yuh Nelson,209,English,USA,2011,7.3,2.35,20000,90,15,10000,11000,Mike Bell,Gary Oldman,Angelina Jolie Pitt,182718,21015,150000000
The Last Airbender ,M. Night Shyamalan,1382,English,USA,2010,4.2,2.35,18000,0,346,756,1000,Aasif Mandvi,Noah Ringer,Seychelle Gabriel,118951,2857,150000000
Mission: Impossible III ,J.J. Abrams,871,English,USA,2006,6.9,2.35,0,14000,979,10000,22000,Eddie Marsan,Tom Cruise,Philip Seymour Hoffman,256695,34817,150000000
White House Down ,Roland Emmerich,434,English,USA,2013,6.4,2.35,33000,776,256,551,17000,Matt Craven,Jake Weber,Channing Tatum,164238,18204,150000000
Mars Needs Moms ,Simon Wells,112,English,USA,2011,5.4,2.35,0,25,433,562,921,Tom Everett Scott,Dan Fogler,Elisabeth Harnois,17590,2652,150000000
Flushed Away ,David Bowers,122,English,UK,2006,6.7,1.85,0,42,586,14000,20000,David Suchet,Kate Winslet,Hugh Jackman,85086,35161,149000000
Pan ,Joe Wright,186,English,USA,2015,5.8,2.35,24000,456,394,548,20000,Nonso Anozie,Cara Delevingne,Hugh Jackman,39956,21393,150000000
Mr. Peabody & Sherman ,Rob Minkoff,130,English,USA,2014,6.9,1.85,11000,50,517,1000,3000,Karan Brar,Zach Callison,Ty Burrell,47900,5810,145000000
Troy ,Wolfgang Petersen,1694,English,USA,2004,7.2,2.35,0,249,844,5000,11000,Julian Glover,Orlando Bloom,Brad Pitt,381672,17944,175000000
Madagascar 3: Europe's Most Wanted ,Eric Darnell,154,English,USA,2012,6.9,1.85,17000,35,436,770,851,Cedric the Entertainer,Martin Short,Jada Pinkett Smith,119213,2444,145000000
Die Another Day ,Lee Tamahori,1185,English,UK,2002,6.1,2.35,0,93,746,766,769,Rick Yune,Colin Salmon,Toby Stephens,169914,2538,142000000
Ghostbusters ,Paul Feig,1211,English,USA,2016,5.5,2.35,62000,176,322,370,783,Zach Woods,Kate McKinnon,Ed Begley Jr.,69757,2097,144000000
Armageddon ,Michael Bay,1171,English,USA,1998,6.6,2.35,11000,0,537,12000,13000,Will Patton,Steve Buscemi,Bruce Willis,322395,26029,140000000
Men in Black II ,Barry Sonnenfeld,606,English,USA,2002,6.1,1.85,2000,188,826,3000,10000,Rip Torn,Rosario Dawson,Will Smith,270207,14823,140000000
Beowulf ,Robert Zemeckis,505,English,USA,2007,6.3,2.35,3000,0,964,12000,18000,Sebastian Roché,Anthony Hopkins,Robin Wright,142440,31523,150000000
Kung Fu Panda 3 ,Alessandro Carloni,145,English,USA,2016,7.2,2.35,24000,5,967,11000,24000,Wayne Knight,Angelina Jolie Pitt,J.K. Simmons,64322,36095,145000000
Mission: Impossible - Ghost Protocol ,Brad Bird,512,English,USA,2011,7.4,2.35,35000,663,690,10000,10000,Michael Nyqvist,Jeremy Renner,Tom Cruise,365104,21768,145000000
Rise of the Guardians ,Peter Ramsey,174,English,USA,2012,7.3,1.85,25000,52,161,315,20000,Khamani Griffin,Kamil McFadden,Hugh Jackman,123553,20645,145000000
Fun with Dick and Jane ,Dean Parisot,258,English,USA,2005,6.1,2.35,2000,23,233,550,957,David Herman,Richard Burgi,John Michael Higgins,110788,1997,100000000
